toperacao,
0,toperacao
1,20.000000000058
2,30.250000000116
3,11.800000000047
4,55.800000000105
5,15.29999999993
6,19.400000000023
7,16.299999999872
8,44.299999999988
9,24.499999999884
10,17.200000000012
11,23.300000000163
12,33.600000000035
13,14.100000000035
14,32.800000000047
15,26.200000000012
16,168.70000000001
17,0
18,52.666666666686
19,13.300000000047
20,19.5
21,27.899999999965
22,24.59999999986
23,64.766666666663
24,56.599999999919
25,19.000000000116
26,10.399999999849
27,45.799999999988
28,37.100000000093
29,17.000000000058
30,19.300000000047
31,17.399999999965
32,21.699999999837
33,37.600000000151
34,30.300000000105
35,12.90000000014
36,15
37,11.300000000163
38,11.599999999919
39,30.500000000058
40,52.5
41,31.100000000093
42,25.666666666686
43,59.833333333314
44,12.250000000116
45,2.4166666666861
46,6.5833333333139
47,4.1666666666279
48,2.7500000000582
49,6.5000000000582
50,4.8333333333721
51,3.1666666666861
52,3
53,5.5833333333721
54,4.6666666666861
55,3.75
56,4.0833333333721
57,8.7499999998836
58,3.9999999999418
59,56.833333333314
60,4.5
61,2.5000000001164
62,4.3333333333139
63,3.6666666665697
64,3.4999999998836
65,5.4166666666861
66,9.9166666666861
67,17.750000000058
68,3.2499999999418
69,2.8333333333139
70,2.5833333331975
71,3.2500000001164
72,1.5833333332557
73,5.1666666667443
74,3.9166666665114
75,18.666666666744
76,5.9166666667443
77,41.083333333314
78,2.25
79,4.5833333334303
80,5.0833333333139
81,2.9166666665697
82,4.5833333332557
83,5.6666666666279
84,1.8333333333721
85,4.9166666666279
86,2.9166666667443
87,5.4999999999418
88,3.0833333332557
89,15.75
90,6.3333333331975
91,6
92,6.2499999999418
93,2.0833333333139
94,2.4166666665114
95,5.1666666665697
96,4.4166666667443
97,6.9166666666861
98,5.8333333333139
99,2.7499999998836
100,11.916666666744
101,3.3333333333721
102,8.1666666667443
103,3.6666666667443
104,5.3333333332557
105,10.750000000116
106,4.2499999998836
107,2.5833333333721
108,7.5
109,5.5000000001164
110,3.4166666668025
111,2.6666666666279
112,6.0833333334303
113,5.25
114,2.4999999999418
115,3.8333333332557
116,3.5833333333139
117,3.4166666666279
118,7.9999999998836
119,6.1666666666861
120,6.0833333332557
121,4.2500000000582
122,6.2500000001164
123,6.3333333333721
124,6.9999999999418
125,7.4166666667443
126,15.166666666686
127,5.6666666668025
128,8.4166666666861
129,8.4999999999418
130,2.1666666665697
131,4.6666666665114
132,4.0000000001164
133,7.1666666668025
134,27.916666666686
135,2.0000000000582
136,6.8333333334303
137,6.6666666665697
138,3.5000000000582
139,7.6666666666861
140,3.0833333334303
141,20.499999999942
142,10.250000000058
143,8.8333333333139
144,4.9166666668025
145,9
146,12.916666666686
147,4.4166666665697
148,6.8333333332557
149,27
150,4.0833333331975
151,5.7500000000582
152,5.3333333334303
153,7.8333333333721
154,8.1666666665697
155,7.7500000001164
156,7.9166666666279
157,16.916666666628
158,6.6666666667443
159,5.0000000000582
160,7.7499999999418
161,6.4166666666279
162,7.3333333333139
163,6.75
164,12.333333333372
165,16.416666666744
166,14.916666666744
167,20.416666666686
168,7.5833333332557
169,2.6666666668025
170,10.333333333314
171,13.416666666744
172,7.0833333333721
173,12.583333333314
174,36.500000000058
175,2.3333333332557
176,4.7499999999418
177,3.9166666666861
178,5.9166666665697
179,4.7500000001164
180,8.9166666667443
181,1.9166666666279
182,1.9999999998836
183,7.8333333331975
184,10.583333333256
185,2.1666666667443
186,1.6666666666861
187,9.8333333332557
188,7.1666666666279
189,9.1666666666861
190,9.75
191,7.2499999998836
192,6.9166666665114
193,4.8333333331975
194,5.7499999998836
195,7.3333333334886
196,15.666666666744
197,15.416666666628
198,17.083333333314
199,8.3333333334303
200,16.166666666628
201,6.5833333334886
202,9.4166666666279
203,9.0833333334303
204,5.5833333331975
205,15.66666666657
206,4.1666666668025
207,8.0000000000582
208,13.5
209,7.0000000001164
210,13.249999999884
211,10.166666666628
212,9.4166666668025
213,8.3333333332557
214,3.8333333334303
215,9.9999999999418
216,4.9999999998836
217,7.2500000000582
218,8.0833333333139
219,1.9166666668025
220,1.7499999999418
221,9.6666666667443
222,11.833333333314
223,2.8333333334886
224,2.3333333334303
225,14.000000000058
226,3.5833333334886
227,18.916666666686
228,28.916666666802
229,11.166666666744
230,7.5833333334303
231,9.3333333333721
232,46.833333333372
233,29.833333333314
234,8.6666666668025
235,16.5
236,16.333333333314
237,20.25
238,6.4166666668025
239,14.25
