origem,,
0,origem,1
1,BRIQI,45
2,BRSSA,3990
3,BRBEL,844
4,BRSE002,32
5,BRFOR,1997
6,BRBA003,73
7,BRMAO,3662
8,BRES008,6
9,BRNAT,25
10,BRSUA,2636
11,BRARB,137
12,BRSSZ,3888
13,BRVDC,1605
14,BRRIG,3663
15,BRPNG,329
16,BRRN001,75
17,BR901,8
18,n/a,334
19,BRMCZ,28
20,BRPA001,7
21,BRSAL,1701
22,BRAM009,37
23,BRCDO,1
24,BRRIO,155
25,ARBHI,11
26,BRREC,13
27,DZSKI,4
28,BRSSO,15
29,BRRJ010,523
30,BR200,14
31,BRSP006,14
32,BRSTM,831
33,BR913,125
34,BRES005,272
35,BRCAM,241
36,BRSP009,1
37,BRSAS,83
38,BRRJ014,7
39,MASFI,4
40,ARSLO,11
41,USGGG,1
42,USLGV,1
43,ARNEC,1
44,MAJFL,2
45,BRNTR,5
46,BRRJ056,1
47,BRES002,3
48,BRMTE,7
49,BRPA033,253
50,BRRJ013,1
51,BRRS009,7
52,BRBR3,1
53,BRVIX,495
54,BRES004,54
55,BRARE,8
56,BRSFS,6
57,BRSP002,37
58,BRPA006,1
59,DZZZZ,2
60,USHOU,78
61,BRIOS,1
62,PEPUB,6
63,ILJOR,1
64,TRMER,24
65,BRBA002,255
66,LVVNT,6
67,USTXA,1
68,USLCH,2
69,ANCUR,3
70,USFRP,10
71,ANEMM,1
72,USPOA,1
73,BRMCP,8
74,USTXT,8
75,USFPO,4
76,USFEP,4
77,TTPTS,2
78,BRAM025,76
79,BRITA,1
80,BRES010,26
81,BRAM011,16
82,BRRJ020,2
83,USCRP,1
84,NLAMS,4
85,BRMS002,1089
86,BRRO014,6
87,BRMS001,683
88,BRPA038,533
89,BRITJ,1189
90,PYZZZ,2
91,ARZZZ,3
92,BRAM023,7
93,BRSC001,1
94,BRES006,31
95,CNNHK,8
96,CNNKG,6
97,BRPA004,1
98,BRRJ016,1
99,BRMA001,5
100,BRSP004,5
101,PACTB,4
102,PTSIE,28
103,CNCWN,1948
104,CNNGB,537
105,CNXMN,585
106,USPEF,38
107,ITCVV,10
