destino,,
0,destino,1
1,BRCDO,35
2,BRBEL,558
3,BRAM011,151
4,BRSUA,5196
5,BRBA003,108
6,BRARB,8
7,BRVDC,2785
8,BRPNG,540
9,BRRN001,28
10,BRRIG,809
11,n/a,334
12,BRSE002,5
13,BRIQI,45
14,IEAUG,1
15,BRARE,1702
16,BRFOR,6610
17,BRRS009,32
18,BRSP006,197
19,BRMCZ,44
20,BRREC,11
21,BRSSZ,6150
22,ARZZZ,1051
23,BRRJ010,29
24,NLAMS,3
25,BRSTM,802
26,BRMAO,1273
27,BRSLV,213
28,BRATM,3
29,BRSSA,5086
30,BRES005,128
31,BR913,257
32,BRCAM,33
33,BRRJ026,3
34,BRSAS,6
35,BRRJ014,6
36,NOKMY,2
37,BRRS001,3
38,BRAM013,1
39,BRRIO,531
40,ARCMP,8
41,BRVIX,221
42,BRMTE,3
43,BRPA014,253
44,BRRJ019,30
45,BRRJ008,8
46,BRSC007,39
47,BRSSO,8
48,BRRJ009,46
49,NLRTM,13
50,USZZZ,5
51,GHZZZ,1
52,EGAIS,1
53,NGAPP,21
54,NGPHC,2
55,NGLOS,3
56,TRZZZ,1
57,BRSFS,95
58,BRCE001,16
59,BRIBB,2
60,BRPE001,1
61,BRES004,5
62,SGZZZ,6
63,SGSIN,14
64,BEANR,35
65,BRSP001,15
66,ROCND,1
67,BRSP005,264
68,BRPR002,13
69,BRRJ003,2
70,USTXT,1
71,USHOU,31
72,MXATM,15
73,BRRJ015,4
74,BRPA004,7
75,USFRP,1
76,BRAM025,25
77,BRMCP,3
78,BRITA,3
79,USFLU,1
80,BRAM009,1
81,USFPO,1
82,CLZZZ,4
83,USBAL,123
84,TRIDM,1
85,ARIBO,39
86,BRPA017,6
87,ARSNX,629
88,PYZZZ,39
89,BRPA018,533
90,BOZZZ,3
91,BRRJ012,3
92,ARROS,6
93,BRMS001,5
94,BRRO007,8
95,RULED,1
96,CNCGS,17
97,HKHKG,96
98,JPOSA,9
99,JPNGO,141
100,JPYOK,30
101,JPSMZ,5
102,CNTAO,105
103,KRKUV,1
104,CNYNT,1
105,TWKHH,40
106,ISSTR,1
107,CAPAF,4
108,CABEC,1
109,USNEK,5
110,USTPA,1
111,BRPOA,1
112,BRAM012,32741
113,INMUN,49
114,PACTB,1
115,MXVER,3
116,CAYEA,2
117,PKBQM,9
118,GBTIL,4
119,ESCAR,57
120,FRLEH,1
121,VNSGN,29
122,USNOR,19
123,AUBNE,5
124,CNYTN,7
125,ECGYE,3
126,ZZZZZ,1277
127,BRPA028,5
128,BRRS016,3
129,BRRS014,3
130,BRRS003,1
131,INZZZ,1
132,CNNGB,28
133,DEBRB,1
134,TNZZZ,1
135,ITLIV,12
136,KRZZZ,1
137,USILG,1
138,CNTAG,15
139,JPUKB,39
140,CNSHA,88
141,IDSUB,55
142,JPTYO,79
143,KRKAN,47
144,KRPUS,147
145,THBKK,28
146,GBNWY,7
147,USBED,52
148,USLAX,59
149,USMIA,161
150,USNYC,125
151,USOAK,53
152,USSAV,125
153,COCTG,14
154,CNXMN,16
155,USCHS,6
156,USMSY,10
157,USOKD,1
158,USSCT,1
159,CNFOC,17
160,VNHPH,12
161,CNYZH,21
162,USNPP,2
163,KRINC,12
164,CNFUG,1
165,USIJX,12
166,USJOT,17
167,INMAA,51
168,USMIK,7
169,DOMAN,6
170,NZAKL,2
171,CNHUA,5
172,AUFRE,3
173,USXMH,2
174,USLTH,20
175,VNVUT,5
176,CNXGG,2
177,AUSYD,3
178,CNWUH,2
179,USCHI,7
180,AUMEL,1
181,PAMIT,4531
182,USETA,1
183,USLGB,5
184,PRSJU,2
185,CNLYG,59
186,CNTSN,95
187,JPMYJ,1
188,USBOX,1
189,USXMX,2
190,USPEF,2
191,PKKHI,9
192,COBAQ,21
193,INVTZ,48
194,IDTPP,1
195,CNNKG,2
196,USOKP,7
197,USLRB,6
198,PECLL,10
199,THLCH,4
200,USHUF,1
201,CNJIU,21
202,CRLIO,5
203,INPAV,17
204,INTUT,3
205,PHMNL,1
206,MXGDL,10
207,CNDLC,16
208,CNHUD,3
209,CNSDG,1
210,CNTXG,93
211,JPSKT,2
212,USSNQ,1
213,MXZLO,1
214,USJKV,1
215,USSRB,2
216,INNSA,20
217,ESSBG,1
218,USTOD,4
219,DOHAI,2
220,CNZAP,5
221,KRKWJ,2
222,TWTXG,4
223,GBCHD,1
224,MYPKG,9
225,USPCD,1
226,USAAL,1
227,USSHV,2
228,AUADL,1
229,CNZZZ,1
230,BRES003,5
231,DZBJA,11
232,BRMA001,2
233,BR200,1
234,BRADR,1
235,BR912,1
236,BRNAT,1
237,UYMVD,331
238,ARBUE,1750
239,BRSC008,13161
240,BRZZZ,342
241,ITMAA,10
242,CNFAN,2
243,CNQZH,2
244,USSUB,1
245,CNYQS,1
246,CNCKG,4
247,JMKIN,1
248,ESESI,1
249,AEJEA,47
250,CIABJ,1
251,DZALG,2
252,EGALY,63
253,TRAVC,1
254,TRGEB,1
255,ZADUR,7
256,CACAL,1
257,CAVAN,1
258,MXESE,2
259,MXMEX,1
260,PLGDY,5
261,SDPZU,1
262,USTIW,2
263,ZAALJ,1
264,ZAJNB,1
265,ALDRZ,1
266,ESVGO,2
267,QADOH,36
268,GBLGP,3
269,USSEA,1
270,VNUIH,1
271,GRSKG,1
272,LYMRA,1
273,IDJKT,2
274,DENSA,29
275,DEZZZ,1
276,BRSP008,121
277,BRAM006,24
278,BRITJ,478
279,AOLAD,17
280,CGPNR,8
281,ZACPT,2
282,MYZZZ,4
283,CNZHA,1
284,GBMNC,2
285,CNCWN,5
286,CDMAT,3
287,FRBRA,2
288,COADZ,2
289,ITVIC,2
290,USFID,2
291,ARZAE,10
292,AUBDG,1
293,CNCHE,1
294,ESMAD,2
295,ITGNV,1
296,PHABU,1
297,THARA,3
298,MYPGU,2
299,INLUH,1
300,IRBSR,1
301,ITGOA,5
302,ESALG,643
303,GHTEM,10
304,MAAGA,20
305,ESSCT,17
306,GNCKY,6
307,ESLPA,343
308,TGLFW,3
309,NGTIN,3
310,EGEDK,10
311,ESVLC,816
312,MACAS,9
313,SADMN,170
314,PTLEI,22
315,KWSWK,37
316,SAZZZ,75
317,ESBIO,5
318,GEPTI,16
319,OMSOH,27
320,JOAQJ,10
321,AEAJM,16
322,GBZZZ,14
323,TRMER,8
324,BHZZZ,11
325,TRIST,42
326,CVRAI,2
327,AOLOB,15
328,LRMLW,11
329,PTSIE,1417
330,ESZZZ,12
331,MAPTM,293
332,ESMTV,36
333,ITCAR,9
334,HURJK,1
335,INAMD,2
336,GRKAT,1
337,TRGEM,5
338,BDCGP,6
339,AEAUH,1
340,INCCU,3
341,IRBND,3
342,BRSC011,715
343,ITVLC,2
344,AESHJ,3
345,EGPSD,1
346,ILHFA,2
347,SNDKR,2
348,ESBCN,4
349,ESAGP,1
350,ITSPE,5
351,FRFOS,3
352,VEMTV,1
353,ESCAD,1
354,CNNSA,2
355,GMBJL,22
356,SLFNA,5
357,CMDLA,1
358,BJCOO,2
359,IQUQR,8
360,YEADE,2
361,USJEA,2
362,USGDN,1
363,YEMKX,2
364,USBOS,3
365,MVMLE,2
366,ITNAP,2
367,TRAYT,1
368,ESALC,1
369,ITMER,1
370,MRNKC,1
371,CYLMS,2
372,SYLTK,1
373,DJJIB,1
