portoatracacao,,
0,portoatracacao,1
1,Cabedelo,22
2,"Belém",1037
3,"Terminal Aquaviário de Aracaju",19
4,"Terminal Aquaviário de Manaus",81
5,"Terminal Aquaviário do Norte Capixaba",5
6,"Terminal Aquaviário de Madre de Deus",128
7,Suape,3296
8,"Vila do Conde",4313
9,"Paranaguá",826
10,"Terminal Aquaviário de Guamaré",77
11,Santos,6012
12,"Rio Grande",820
13,"Maceió",51
14,"Terminal Trombetas",4
15,"Areia Branca",1708
16,"Terminal Aquaviário Solimões - Coari",28
17,Itaqui,49
18,"Terminal Aquaviário de Osório",32
19,Fortaleza,5032
20,"Terminal Aquaviário de São Sebastião (Almirante Barroso)",204
21,"Terminal Aquaviário da Ilha DÁgua",563
22,"Santarém",1633
23,"Companhia Portuária Vila Velha - CPVV",400
24,"Intermoor do Brasil",3
25,"Base Logística de Dutos",1
26,"Mac Laren Oil Estaleiros",12
27,"Yara Brasil Fertilizantes",3
28,Ocrim,1
29,"Rio de Janeiro",7
30,"Niterói",5
31,"Angra dos Reis",11
32,"Terminal CCPN",1
33,"Vitória",223
34,"Terminal Marítimo Ponta Ubu",3
35,"Porto CRA",127
36,"Porto Crai",126
37,"UTC Engenharia",1
38,"Terminal Marítimo Braskem",30
39,Aratu,58
40,"Terminal Aquaviário de Ilha Redonda",9
41,"Terminal Aquaviário de São Francisco do Sul",39
42,"Terminal Aquaviário de Angra dos Reis",53
43,"Terminal Marítimo Alfandegado Privativo de Uso Misto de Praia Mole",56
44,"São Francisco do Sul",44
45,"Terminal Portuário do Pecém",8
46,"Estaleiro Atlântico Sul - EAS",1
47,"Terminal Marítimo Privativo de Cubatão - TMPC",37
48,"Porto Murucupi",1
49,"Ilhéus",1
50,"Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM",8
51,"Terminal Marítimo Dow",137
52,"Terminal Marítimo Dow Aratu - Bahia",128
53,"Cattalini Terminais Marítimos",12
54,"Cosan Lubrificantes e Especialidades",2
55,"Terminal Marítimo Ponte do Thun",4
56,Santana,9
57,"Terminais Fluviais do Brasil",81
58,"Terminal Aquaviário de Barra do Riacho",14
59,"Porto do Açu - Terminal de Minério",2
60,"Porto Gregório Curvo",1089
61,"Bertolini - Santarém",6
62,"Granel Química Ladário",688
63,"TERFRON Itaituba",484
64,"Estaleiro Brasfels",3
65,AIVEL,8
66,"Terminal Portuário Braskarne",1
67,"Portocel - Terminal Especializado de Barra do Riacho",31
68,Recife,7
69,"Porto Jari - Terminal Munguba",1
70,"TERNIUM BR",1
71,TERFRON,49
72,"Terminal Portuário Privativo da Alumar",7
73,"Sucocítrico Cutrale",5
74,"Super Terminais Comércio e Indústria",39061
75,"Base Ipiranga Santarém",5
76,"Terminal de Gás do Sul - Tergasul",3
77,"Supergasbrás",3
78,"Porto Alegre",6
79,Salvador,7379
80,"Itaguaí",1
81,"Terminal da Ilha Guaíba - TIG",5
82,"Terminal de Tubarão",48
83,"Terminal de Praia Mole",5
84,Imbituba,1
85,"Portonave - Terminais Portuários de Navegantes",20051
86,"DP World Santos",1050
87,"Porto Itapoá Terminais Portuários",817
88,"Itajaí",1586
