tesperaatracacao,
0,tesperaatracacao,1
1,0.083333333430346,27
2,0,55
3,29.000000000058,1
4,1.2999999998719,2
5,16.300000000047,1
6,38.000000000058,1
7,7.2000000000698,1
8,1.5999999999767,4
9,2.4999999999418,2
10,10.100000000093,2
11,1.4000000000233,2
12,18.399999999907,1
13,1.1999999998952,1
14,60.816666666709,1
15,0.1500000001397,1
16,204,1
17,1.0166666666628,1
18,65.299999999988,1
19,20.266666666721,2
20,126.50000000006,1
21,12.533333333326,2
22,23.200000000012,1
23,6.0999999999767,1
24,0.79999999998836,4
25,53.299999999988,2
26,97.700000000128,1
27,126.25000000012,1
28,3.0999999999767,1
29,9.6000000000349,1
30,31.5,3
31,16.5,5
32,29.63333333336,2
33,8.5833333333721,4
34,50.000000000058,1
35,55.099999999919,1
36,72.633333333302,1
37,94.450000000012,1
38,16.549999999988,1
39,5.7500000000582,1
40,3.9999999999418,5
41,0.16666666668607,119
42,33.500000000058,1
43,0.083333333255723,30
44,2.1666666665697,3
45,2.3333333334303,4
46,5.0000000000582,4
47,9.8333333332557,1
48,6.9166666665114,1
49,1.1666666666279,8
50,8.0833333334886,1
51,12.250000000116,1
52,1.7500000001164,2
53,1.8333333333721,10
54,4.5,2
55,3.9166666666861,1
56,8.7500000000582,1
57,21.999999999942,1
58,34.000000000116,1
59,18.08333333343,1
60,0.16666666651145,13
61,1.6666666666861,8
62,0.24999999994179,11
63,15.66666666657,2
64,10.583333333256,2
65,6.0833333332557,3
66,9.9999999999418,2
67,18.416666666802,1
68,6.4166666666279,4
69,16.333333333314,3
70,0.58333333331393,2
71,21.666666666744,1
72,1.9999999998836,1
73,30.416666666802,1
74,8.4166666665114,1
75,0.75,6
76,14.666666666628,2
77,7.1666666666279,2
78,26.000000000058,2
79,8.3333333332557,2
80,28.416666666744,1
81,4.4166666665697,3
82,23.333333333256,3
83,21.500000000058,2
84,3.2499999999418,3
85,3.6666666665697,3
86,1.5,5
87,6.1666666666861,4
88,4.7499999999418,4
89,2.4166666666861,5
90,5.9166666667443,2
91,13.583333333256,1
92,37.5,2
93,12.75,2
94,2.8333333333139,7
95,7.5,4
96,32.583333333372,1
97,0.91666666651145,1
98,7.5833333332557,1
99,7.8333333333721,2
100,46.666666666686,1
101,2.0833333333139,2
102,98.833333333314,1
103,12.999999999942,2
