tesperacainicioop;
0;tesperacainicioop;1
1;0.083333333255723;291
2;2.25;4
3;1.3999999998487;1
4;2.2999999999884;3
5;2.4999999999418;4
6;2.7999999998719;1
7;4.1000000000931;1
8;4.0999999999185;5
9;1.3333333333139;3
10;3.7999999998137;2
11;4.0000000001164;1
12;4.1833333333489;1
13;9.9833333332208;1
14;0;187
15;7.466666666558;1
16;4.0833333333721;3
17;5.3999999999651;1
18;4.0333333332092;2
19;3.5000000000582;3
20;4.8666666668141;1
21;1.4666666667326;2
22;1.3000000000466;1
23;1.9999999998836;2
24;2.0000000000582;3
25;4.9999999998836;4
26;1.5;5
27;6.4499999998952;1
28;1.5999999999767;1
29;3.7000000000116;1
30;4.3999999998487;2
31;5.6999999998952;1
32;3.3666666666395;2
33;3.5666666665929;1
34;3.716666666558;1
35;4.2000000000698;1
36;18.36666666664;1
37;7.0499999999302;1
38;7.4500000000116;1
39;1.1666666668025;3
40;0.083333333430346;203
41;0.16666666668607;64
42;0.24999999994179;12
43;2.1666666667443;1
44;0.66666666674428;6
45;5.9166666665697;1
46;0.41666666662786;9
47;2.6666666666279;2
48;0.50000000005821;10
49;0.58333333331393;8
50;0.75;4
51;0.16666666651145;11
52;0.25000000011642;8
53;1.1666666666279;7
54;0.33333333319752;7
55;2.0833333333139;1
56;5.1666666667443;1
57;6.9166666666861;1
58;0.41666666680248;4
59;0.91666666668607;2
60;3;2
61;1.0833333333721;2
62;0.33333333337214;10
63;3.4166666666279;1
64;9.75;1
65;5.3333333332557;1
66;7.9166666666279;1
67;0.49999999988358;2
68;1.6666666666861;2
69;8.3333333332557;1
70;0.66666666656965;8
71;6.75;1
72;6.4166666668025;1
73;4.9166666666279;1
74;2.7500000000582;2
75;3.5833333333139;1
76;0.83333333343035;2
77;1.2500000000582;1
78;1.7500000001164;1
79;1.0000000001164;2
80;3.0833333332557;1
81;0.83333333325572;5
82;1.2499999998836;2
83;6.8333333332557;1
84;2.9166666667443;3
85;0.99999999994179;5
86;0.91666666651145;2
87;3.1666666666861;2
88;8.8333333333139;1
89;6.0833333332557;1
90;1.0833333331975;1
91;10.333333333314;1
92;6;1
93;2.4166666666861;1
94;4.2499999998836;1
95;6.2500000001164;1
96;1.8333333333721;2
97;6.3333333333721;1
98;6.6666666667443;1
99;2.1666666665697;1
100;2.9166666665697;1
101;3.8333333332557;1
102;1.7499999999418;1
103;6.4166666666279;1
104;3.6666666665697;1
105;6.6666666665697;1
106;2.8333333333139;1
107;1.9166666666279;1
108;9.6666666667443;1
109;2.3333333332557;1
